,ts_code,name,management,custodian,fund_type,found_date,due_date,list_date,issue_date,delist_date,issue_amount,m_fee,c_fee,duration_year,p_value,min_amount,exp_return,benchmark,status,invest_type,type,trustee,purc_startdate,redm_startdate,market
235,161132.SZ,易基科顺,易方达基金,中国工商银行,混合型,20181026,,20190128,20180907,,2.9167,1.5,0.25,,1.0,0.0001,,中证800指数收益率*40%+中债总指数收益率*40%+中证港股通综合指数收益率*20%,L,灵活配置型,契约型开放式,,,,E
236,501310.SH,价值基金LOF,华宝基金,中国建设银行,股票型,20181025,,20181122,20180827,,2.4676,0.75,0.15,,1.0,0.0001,,标普沪港深中国增强价值指数收益率*95%+人民币银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20181122,20181122,E
237,512820.SH,银行业ETF,汇添富基金,招商银行,股票型,20181023,,20181123,20180717,,9.016,0.5,0.1,,1.0,0.1,,中证银行指数收益率,L,被动指数型,契约型开放式,,20181123,20181123,E
238,159959.SZ,央企ETF,银华基金,中国工商银行,股票型,20181022,,20190118,20180827,,72.2889,0.15,0.05,,1.0,0.1,,中证央企结构调整指数收益率,L,被动指数型,契约型开放式,,20190118,20190118,E
239,512950.SH,央企改革ETF,华夏基金,中国农业银行,股票型,20181019,,20190118,20180827,,158.8755,0.15,0.05,,1.0,0.1,,中证央企结构调整指数收益率,L,被动指数型,契约型开放式,,20190118,20190118,E
240,512960.SH,央调ETF,博时基金,招商银行,股票型,20181019,,20190118,20180827,,252.2226,0.15,0.05,,1.0,0.1,,中证央企结构调整指数收益率,L,被动指数型,契约型开放式,,20190118,20190118,E
241,511270.SH,10年地方债ETF,海富通基金,中国银行,债券型,20181012,,20181122,20180628,,60.4575,0.25,0.1,,1.0,0.1,,上证10年期地方政府债指数收益率,L,被动指数型,契约型开放式,,20181122,20181122,E
242,512850.SH,北京50ETF,中信建投基金,招商银行,股票型,20180927,,20181109,20180702,,2.7953,0.6,0.1,,1.0,0.1,,中证北京50指数收益率,L,被动指数型,契约型开放式,,20181109,20181109,E
243,512860.SH,MSCI中国ETF,华安基金,中国农业银行,股票型,20180927,,20181026,20180801,,3.2163,0.5,0.1,,1.0,0.1,,MSCI中国A股国际指数收益率(经汇率调整),L,被动指数型,契约型开放式,,20181026,20181026,E
244,159960.SZ,恒生国企,平安基金,中国银行,股票型,20180921,,20181022,20180907,,5.1057,0.5,0.1,,1.0,0.1,,恒生中国企业指数收益率(经汇率调整),L,被动指数型,契约型开放式,,20181022,20181022,E
245,501062.SH,南方瑞合LOF,南方基金,中国建设银行,混合型,20180906,,20181205,20180806,,14.3326,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*40%+上证国债指数收益率*40%+中证港股通综合指数(人民币)收益率*20%,L,混合型,契约型开放式,,,,E
246,510600.SH,申万上证50ETF,申万菱信基金,中国工商银行,股票型,20180903,,20180920,20180625,,3.7578,0.5,0.1,,1.0,0.1,,上证50指数,L,被动指数型,契约型开放式,,20180920,20180920,E
247,501061.SH,金选300C类LOF,中金基金,中国建设银行,股票型,20180830,,20180925,20180723,,0.7771,0.5,0.15,,1.0,0.001,,中证中金优选300指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20180925,20180925,E
248,501060.SH,金选300A类LOF,中金基金,中国建设银行,股票型,20180830,,20180925,20180723,,1.9689,0.5,0.15,,1.0,0.001,,中证中金优选300指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20180925,20180925,E
249,160726.SZ,嘉实瑞享,嘉实基金,中国银行,混合型,20180803,,20190412,20180709,,13.0916,2.0,0.25,,1.0,0.0001,,沪深300指数收益率*50%+恒生指数收益率*40%(人民币计价)+中债综合财富指数收益率*10%,L,灵活配置型,契约型开放式,,20200803,20200803,E
250,512770.SH,战略新兴ETF,华夏基金,中国建设银行,股票型,20180713,,20180816,20180504,,2.6277,0.5,0.1,,1.0,0.1,,中国战略新兴产业成份指数(简称:新兴成指)指数收益率,L,被动指数型,契约型开放式,,20180816,20180816,E
251,501059.SH,国企红利LOF,西部利得基金,中国光大银行,股票型,20180711,,20180726,20180521,,2.1155,1.0,0.25,,1.0,0.001,,中证国有企业红利指数收益率*90%+商业银行活期存款利率(税后)*10%,L,增强指数型,契约型开放式,,20180726,20180726,E
252,161131.SZ,易基配售,易方达基金,中国建设银行,混合型,20180705,,20190329,20180611,,244.3741,0.1,0.03,,1.0,0.0001,,沪深300指数收益率*60%+中债总指数收益率*40%,L,灵活配置型,契约型开放式,,20190107,,E
253,501186.SH,华夏配售LOF,华夏基金,中国工商银行,混合型,20180705,,20190329,20180611,,113.2233,0.1,0.03,,1.0,0.001,,沪深300指数收益率*60%+中债总指数收益率*40%,L,灵活配置型,契约型开放式,,20190107,,E
254,501189.SH,嘉实配售,嘉实基金,中国银行,混合型,20180705,,20190329,20180611,,119.5091,0.1,0.03,,1.0,0.0001,,沪深300指数收益率*60%+中债总全价指数收益率*40%,L,灵活配置型,契约型开放式,,20190107,,E
255,161728.SZ,招商配售,招商基金,中国银行,混合型,20180705,,20190329,20180611,,247.081,0.1,0.03,,1.0,0.0001,,沪深300指数收益率*60%+中债总指数收益率*40%,L,灵活配置型,契约型开放式,,20190107,,E
256,501188.SH,添富配售,汇添富基金,中国工商银行,混合型,20180705,,20190329,20180611,,144.3624,0.1,0.03,,1.0,0.0001,,沪深300指数收益率*60%+中债总指数收益率*40%,L,灵活配置型,契约型开放式,,20190107,,E
257,160142.SZ,南方配售,南方基金,中国工商银行,混合型,20180705,,20190329,20180611,,180.6422,0.1,0.03,,1.0,0.0001,,沪深300指数收益率*60%+中债总指数收益率*40%,L,灵活配置型,契约型开放式,,20190107,,E
258,512360.SH,平安MSCI国际ETF,平安基金,中国工商银行,股票型,20180615,,20180720,20180502,,3.2334,0.5,0.1,,1.0,0.1,,MSCI中国A股国际指数(MSCI China A International Index)收益率,L,被动指数型,契约型开放式,,20180720,20180720,E
259,164824.SZ,印度基金,工银瑞信基金,招商银行,股票型,20180615,,20180801,20180507,,2.3398,1.6,0.2,,1.0,0.001,,中信证券印度ETP指数收益率*90%+人民币活期存款收益率(税后)*10%,L,股票型,契约型开放式,,20180801,20180801,E
260,512390.SH,平安MSCI低波ETF,平安基金,平安银行,股票型,20180607,,20180713,20180521,,2.0168,0.5,0.1,,1.0,0.1,,MSCI中国A股低波动指数(MSCI China A International Minimum Volatility Index)收益率,L,被动指数型,契约型开放式,,20180713,20180713,E
261,161039.SZ,富国1000,富国基金,中国农业银行,股票型,20180531,,20180620,20180503,,5.1211,1.0,0.15,,1.0,0.001,,中证1000指数收益率*95%+银行人民币活期存款利率(税后)*5%,L,增强指数型,契约型开放式,,20180620,20180620,E
262,501058.SH,新能源车LOFC,汇添富基金,中国工商银行,股票型,20180523,,20180620,20180507,,4.3146,1.0,0.1,,1.0,0.001,,中证新能源汽车产业指数收益率*95%+银行人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20180620,20180620,E
263,501057.SH,新能源车LOF,汇添富基金,中国工商银行,股票型,20180523,,20180620,20180507,,3.1074,1.0,0.1,,1.0,0.001,,中证新能源汽车产业指数收益率*95%+银行人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20180620,20180620,E
264,512090.SH,MSCIA股ETF易方达,易方达基金,中国银行,股票型,20180517,,20180601,20180423,,17.4359,0.15,0.05,,1.0,0.1,,MSCI中国A股国际通指数(MSCI China A Inclusion RMB Index)收益率,L,被动指数型,契约型开放式,,20180601,20180601,E
265,511280.SH,中期信用ETF,华夏基金,中国建设银行,债券型,20180503,,20180531,20180124,,3.1673,0.25,0.08,,1.0,0.1,,上证3-5年期中高评级可质押信用债指数收益率,L,被动指数型,契约型开放式,,20180531,20180531,E
266,513900.SH,港股100ETF,华安基金,中国农业银行,股票型,20180427,,20180525,20180409,,2.8498,0.6,0.1,,1.0,0.1,,中华交易服务港股通精选100指数收益率(经汇率调整),L,被动指数型,契约型开放式,,20180525,20180525,E
267,512280.SH,景顺MSCIA股ETF,景顺长城基金,中国农业银行,股票型,20180427,,20180525,20180410,,15.3401,0.5,0.1,,1.0,0.1,,MSCI中国A股国际通指数收益率,L,被动指数型,契约型开放式,,20180525,20180525,E
268,512520.SH,MSCIETF,华泰柏瑞基金,中国建设银行,股票型,20180426,,20180518,20180330,,15.4706,0.15,0.05,,1.0,0.1,,MSCI中国A股国际通指数收益率,L,被动指数型,契约型开放式,,20180518,20180518,E
269,512780.SH,京津冀ETF,广发基金,中国工商银行,股票型,20180419,,20180524,20180409,,2.8759,0.5,0.1,,1.0,0.1,,中证京津冀协同发展主题指数收益率,L,被动指数型,契约型开放式,,20180524,20180524,E
270,512180.SH,MSCIA股ETF基金,建信基金,中金公司,股票型,20180419,,20180521,20180330,,20.4605,0.5,0.1,,1.0,0.1,,MSCI中国A股国际通指数收益率,L,被动指数型,契约型开放式,,20180521,20180521,E
271,501307.SH,银河高股息LOF,银河基金,北京银行,股票型,20180410,,20180425,20180226,,1.6495,0.5,0.18,,1.0,0.001,,中证沪港深高股息指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20180425,20180425,E
272,512160.SH,MSCI中国A股ETF,南方基金,中国银行,股票型,20180403,,20180427,20180319,,13.0978,0.5,0.1,,1.0,0.1,,MSCI中国A股国际通指数收益率,L,被动指数型,契约型开放式,,20180427,20180427,E
273,162416.SZ,香港本地,华宝基金,中国银行,股票型,20180330,,20180418,20180205,,2.4697,0.75,0.15,,1.0,0.0001,,经人民币汇率调整的恒生香港35指数收益率*95%+人民币银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20180418,20180418,E
274,511290.SH,国债十年ETF,广发基金,中国工商银行,债券型,20180326,20200715,20180427,20171220,,2.0158,0.3,0.1,,1.0,0.1,,上证10年期国债指数收益率,L,被动指数型,契约型开放式,,20180427,20180427,E
275,510590.SH,平安中证500ETF,平安基金,平安银行,股票型,20180323,,20180504,20180305,,26.4888,0.5,0.1,,1.0,0.1,,中证500指数收益率,L,被动指数型,契约型开放式,,20180504,20180504,E
276,169106.SZ,东证创优,东证资管,中国建设银行,混合型,20180322,,20180620,20180315,,19.8788,0.7,0.2,,1.0,0.1,,中债综合指数收益率*80%+沪深300指数收益率*20%,L,混合型,契约型开放式,,,,E
277,511310.SH,10年国债ETF,富国基金,中国工商银行,债券型,20180319,,20180426,20180108,,2.403,0.25,0.05,,1.0,0.1,,中证10年期国债指数收益率,L,被动指数型,契约型开放式,,20180426,20180426,E
278,159954.SZ,H股ETF,南方基金,中国工商银行,股票型,20180208,,20180315,20171130,,3.9411,0.5,0.1,,1.0,0.1,,恒生中国企业指数收益率(估值汇率调整),L,被动指数型,契约型开放式,,20180315,20180315,E
279,159956.SZ,创业板F,建信基金,中国银河,股票型,20180206,,20180307,20180108,,3.5798,0.5,0.1,,1.0,0.1,,创业板指数收益率,L,被动指数型,契约型开放式,,20180307,20180307,E
280,501054.SH,东方红睿泽,东证资管,招商银行,混合型,20180131,,20181017,20180123,,71.0579,1.5,0.25,,1.0,0.1,,沪深300指数收益率*60%+恒生指数收益率*20%+中国债券总指数收益率*20%,L,灵活配置型,契约型开放式,,,,E
281,163417.SZ,兴全合宜,兴证全球基金,招商银行,混合型,20180123,,20180423,20180116,,326.9959,1.5,0.25,,1.0,0.1,,沪深300指数收益率*60%+恒生指数收益率*20%+中国债券总指数收益率*20%,L,灵活配置型,契约型开放式,,20200213,20200213,E
282,510380.SH,国寿300ETF,国寿安保基金,中国农业银行,股票型,20180119,,20180207,20171013,,2.948,0.5,0.1,,1.0,0.1,,沪深300指数,L,被动指数型,契约型开放式,,20180207,20180207,E
283,512980.SH,传媒ETF,广发基金,中国工商银行,股票型,20171227,,20180119,20171127,,2.7472,0.5,0.1,,1.0,0.1,,中证传媒指数收益率,L,被动指数型,契约型开放式,,20180119,20180119,E
284,510390.SH,平安沪深300ETF,平安基金,中国工商银行,股票型,20171225,,20180126,20171204,,57.2306,0.5,0.1,,1.0,0.1,,沪深300指数收益率,L,被动指数型,契约型开放式,,20180126,20180126,E
285,159958.SZ,创业板ET,工银瑞信基金,中国银行,股票型,20171225,,20180119,20171121,,2.5181,0.5,0.1,,1.0,0.1,,创业板指数收益率,L,被动指数型,契约型开放式,,20180119,20180119,E
286,510800.SH,50ETF基金,建信基金,中国银河,股票型,20171222,,20180115,20171127,,2.1058,0.5,0.1,,1.0,0.1,,上证50指数收益率,L,被动指数型,契约型开放式,,20180115,20180115,E
287,501053.SH,东方红目标优选,东证资管,招商银行,混合型,20171218,,20180824,20171212,,9.9042,0.7,0.2,,1.0,0.1,,中债综合指数收益率*80%+沪深300指数收益率*20%,L,混合型,契约型开放式,,,,E
288,161014.SZ,富国汇利,富国基金,中国农业银行,债券型,20171211,,20171218,20171211,,,0.5,0.15,,1.0,,,中债综合指数收益率,L,债券型,契约型开放式,,20191211,20191211,E
289,159957.SZ,创业板HX,华夏基金,中国银行,股票型,20171208,,20180104,20171103,,2.4778,0.5,0.1,,1.0,0.1,,创业板指数,L,被动指数型,契约型开放式,,20180104,20180104,E
290,501048.SH,证券公司LOFC,汇添富基金,中信建投,股票型,20171204,,20180118,20171108,,1.6284,0.5,0.1,,1.0,0.001,,中证全指证券公司指数收益率*95%+银行人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20180118,20180118,E
291,501047.SH,证券公司LOF,汇添富基金,中信建投,股票型,20171204,,20180118,20171108,,0.925,0.5,0.1,,1.0,0.001,,中证全指证券公司指数收益率*95%+银行人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20180118,20180118,E
292,501051.SH,圆信永丰汇利LOF,圆信永丰基金,兴业证券,混合型,20171130,,20180131,20171106,,17.7169,1.5,0.15,,1.0,0.01,,沪深300指数收益率*60%+上证国债指数收益率*40%,L,混合型,契约型开放式,,20180131,20180131,E
293,501305.SH,港股高股息LOF,汇添富基金,中国工商银行,股票型,20171124,,20180118,20171106,,2.1688,0.75,0.1,,1.0,0.001,,中证港股通高股息投资指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20180118,20180118,E
294,501306.SH,港股高股息LOFC,汇添富基金,中国工商银行,股票型,20171124,,20180118,20171106,,1.4317,0.75,0.1,,1.0,0.001,,中证港股通高股息投资指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20180118,20180118,E
295,160644.SZ,互联网QD,鹏华基金,中国工商银行,股票型,20171116,,20171229,20171016,,2.5665,1.5,0.3,,1.0,0.001,,中证海外中国互联网指数(人民币计价)*95%+人民币活期存款利率(税后)*5%,L,股票型,契约型开放式,,20180102,20180102,E
296,501049.SH,东方红睿玺,东证资管,中国工商银行,混合型,20171115,,20180601,20171108,,19.7863,1.5,0.25,,1.0,0.1,,沪深300指数收益率*60%+恒生指数收益率*20%+中国债券总指数收益率*20%,L,灵活配置型,契约型开放式,,,,E
297,166024.SZ,中欧恒利,中欧基金,招商银行,混合型,20171101,,20171206,20171024,,74.4059,1.5,0.25,,1.0,0.001,,沪深300指数收益率*60%+中债综合指数收益率*40%,L,混合型,契约型开放式,,,,E
298,160140.SZ,美国REIT,南方基金,中国工商银行,股票型,20171026,,20171124,20170822,,0.86,0.8,0.25,,1.0,0.1,,道琼斯美国精选REIT指数收益率*95%+银行人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20171124,20171124,E
299,501046.SH,财通福鑫定开混合,财通基金,中国工商银行,混合型,20171023,,20171201,20170830,,4.34,1.5,0.25,,1.0,0.1,,沪深300指数收益率*55%+上证国债指数收益率*45%,L,灵活配置型,契约型开放式,,20190416,20190416,E
300,501040.SH,添富睿丰LOFC,汇添富基金,中国银行,混合型,20170929,,20180112,20170814,,1.0522,1.2,0.2,,1.0,0.001,,中债综合指数收益率*80%+沪深300指数收益率*20%,L,混合型,契约型开放式,,20190329,20190329,E
301,501039.SH,添富睿丰LOF,汇添富基金,中国银行,混合型,20170929,,20180308,20170814,,2.276,1.2,0.2,,1.0,0.001,,中债综合指数收益率*80%+沪深300指数收益率*20%,L,混合型,契约型开放式,,20190329,20190329,E
302,168002.SZ,国寿精选,国寿安保基金,广发银行,混合型,20170927,,20171023,20170807,,2.1108,0.6,0.1,,1.0,0.001,,沪深300指数收益率*50%+中债综合(全价)指数收益率*50%,L,灵活配置型,契约型开放式,,20181008,20181008,E
303,501303.SH,恒生中型股LOF,广发基金,中国银行,股票型,20170921,,20171025,20170807,,2.2188,0.5,0.1,,1.0,0.001,,人民币计价的恒生综合中型股指数收益率*95%+人民币活期存款收益率(税后)*5%,L,被动指数型,契约型开放式,,20171025,20171025,E
304,501043.SH,沪深300LOF,汇添富基金,中金公司,股票型,20170906,,20171009,20170828,,2.1586,0.5,0.1,,1.0,0.001,,沪深300指数收益率*95%+银行人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20171009,20171009,E
305,501045.SH,沪深300LOFC,汇添富基金,中金公司,股票型,20170906,,20171009,20170828,,2.9697,0.5,0.1,,1.0,0.001,,沪深300指数收益率*95%+银行人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20171009,20171009,E
306,512200.SH,房地产ETF,南方基金,中国工商银行,股票型,20170825,,20170925,20170526,,2.7038,0.5,0.1,,1.0,0.1,,中证全指房地产指数收益率,L,被动指数型,契约型开放式,,20170925,20170925,E
307,511670.SH,华泰天天金ETF,华泰证券资管,中国建设银行,货币市场型,20170811,,20170828,20170803,,74.3103,0.2,0.09,,100.0,0.1,,同期七天通知存款利率(税后),L,货币型,契约型开放式,,20170828,20170828,E
308,501038.SH,银华明择,银华基金,中国建设银行,混合型,20170811,,20171124,20170710,,10.8926,1.5,0.25,,1.0,0.001,,沪深300指数收益率*55%+中国债券总指数收益率*45%,L,混合型,契约型开放式,,20190211,20190211,E
309,160924.SZ,恒指LOF,大成基金,中国工商银行,股票型,20170810,,20170828,20170707,,3.089,1.0,0.2,,1.0,0.0001,,恒生指数收益率*95%+人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20170828,20170828,E
310,501037.SH,中证500LOFC,汇添富基金,招商证券,股票型,20170810,,20171009,20170726,,3.8889,0.5,0.1,,1.0,0.001,,中证500指数收益率*95%+银行人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20171009,20171009,E
311,501036.SH,中证500LOF,汇添富基金,招商证券,股票型,20170810,,20171009,20170726,,3.4691,0.5,0.1,,1.0,0.001,,中证500指数收益率*95%+银行人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20171009,20171009,E
312,511620.SH,货币基金ETF,国泰基金,中国建设银行,货币市场型,20170804,,20170907,20170717,,3.9207,0.28,0.09,,100.0,0.1,,同期七天通知存款利率(税后),L,货币型,契约型开放式,,20170907,20170907,E
313,511260.SH,十年国债ETF,国泰基金,中国建设银行,债券型,20170804,,20170824,20170717,,2.1865,0.3,0.1,,1.0,0.1,,上证10年期国债指数收益率,L,被动指数型,契约型开放式,,20170824,20170824,E
314,512400.SH,有色金属ETF,南方基金,中国工商银行,股票型,20170803,,20170901,20170601,,4.4754,0.5,0.1,,1.0,0.1,,中证申万有色金属指数收益率,L,被动指数型,契约型开放式,,20170901,20170901,E
315,166023.SZ,中欧瑞丰,中欧基金,招商银行,混合型,20170731,,20170915,20170717,,11.642,1.5,0.25,,1.0,0.001,,沪深300指数收益率*60%+中债综合指数收益率*40%,L,灵活配置型,契约型开放式,,20200803,20200803,E
316,512570.SH,中证证券ETF,易方达基金,招商银行,股票型,20170727,,20170811,20170615,,3.5281,0.5,0.1,,1.0,0.1,,中证全指证券公司指数,L,被动指数型,契约型开放式,,20170811,20170811,E
317,161038.SZ,成长量化,富国基金,中国建设银行,混合型,20170721,,20170818,20170526,,6.3237,0.9,0.25,,1.0,0.001,,中证500指数收益率*47.5%+创业板指数收益率*47.5%+银行活期存款利率(税后)*5%,L,混合型,契约型开放式,,20170818,20170818,E
318,501302.SH,恒生指数基金LOF,南方基金,中国工商银行,股票型,20170721,,20170815,20170417,,2.4453,0.5,0.1,,1.0,0.1,,经估值汇率调整的恒生指数收益率*95%+人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20170815,20170815,E
319,512800.SH,银行ETF,华宝基金,中国银行,股票型,20170718,,20170803,20170525,,5.3114,0.5,0.1,,1.0,0.1,,中证银行指数,L,被动指数型,契约型开放式,,20170803,20170803,E
320,159955.SZ,创业板E,嘉实基金,中国银行,股票型,20170714,,20170823,20170503,,2.5663,0.5,0.1,,1.0,0.1,,创业板指数收益率,L,被动指数型,契约型开放式,,20170823,20170823,E
321,512560.SH,军工ETF易方达,易方达基金,招商银行,股票型,20170714,,20170728,20170609,,3.1556,0.5,0.1,,1.0,0.1,,中证军工指数,L,被动指数型,契约型开放式,,20170728,20170728,E
322,512550.SH,富时A50ETF,嘉实基金,中国银行,股票型,20170703,,20170807,20170329,,4.0191,0.5,0.1,,1.0,0.1,,富时中国A50指数收益率,L,被动指数型,契约型开放式,,20170807,20170807,E
323,161715.SZ,大宗商品,招商基金,中国工商银行,股票型,20170629,,20170714,20170629,,2.0117,0.75,0.15,,1.0,,,中证大宗商品股票指数收益率*95%+商业银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20170714,20170714,E
324,512700.SH,银行ETF基金,南方基金,中国工商银行,股票型,20170628,,20170726,20170524,,3.4378,0.5,0.1,,1.0,0.1,,中证银行指数收益率,L,被动指数型,契约型开放式,,20170726,20170726,E
325,161130.SZ,纳指LOF,易方达基金,中国建设银行,股票型,20170623,,20170714,20170502,,3.2774,0.8,0.25,,1.0,0.001,,纳斯达克100指数收益率(使用估值汇率折算)*95%+活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20170714,20170714,E
326,160643.SZ,空天一体,鹏华基金,中国工商银行,股票型,20170613,,20170620,20170505,,2.7226,1.0,0.15,,1.0,0.1,,中证空天一体军工指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20170620,20170620,E
327,159953.SZ,工业ETF,广发基金,中国银行,股票型,20170613,,20170714,20170503,,2.9117,0.5,0.1,,1.0,0.1,,中证全指工业指数收益率,L,被动指数型,契约型开放式,,20170714,20170714,E
328,159951.SZ,中关村A,嘉实基金,中国工商银行,股票型,20170607,,20170710,20170515,,3.4682,0.5,0.1,,1.0,0.1,,中关村A股指数收益率,L,被动指数型,契约型开放式,,20170710,20170710,E
329,160324.SZ,华夏磐晟,华夏基金,中国银行,混合型,20170531,,20170808,20170417,,3.6576,1.5,0.25,,1.0,0.001,,沪深300指数收益率*50%+上证国债指数收益率*50%,L,灵活配置型,契约型开放式,,20181130,20181130,E
330,163111.SZ,申万中小,申万菱信基金,中国农业银行,股票型,20170509,,20170526,20170509,,2.2389,1.0,0.22,,1.0,,,中小板指数收益率*95%+银行同业存款利率*5%,L,被动指数型,契约型开放式,,20170510,20170510,E
331,161037.SZ,高端制造,富国基金,中国建设银行,股票型,20170427,,20170511,20170327,,2.815,1.2,0.2,,1.0,0.001,,中证高端制造主题指数收益率*95%+银行人民币活期存款利率(税后)*5%,L,增强指数型,契约型开放式,,20170511,20170511,E
332,501016.SH,券商基金LOF,国泰基金,中国建设银行,股票型,20170427,,20170519,20170324,,2.324,0.5,0.15,,1.0,0.01,,中证申万证券行业指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20170519,20170519,E
333,166402.SZ,沪港深F,浦银安盛基金,招商证券,股票型,20170427,,20170609,20170322,,3.4463,1.0,0.22,,1.0,0.01,,中证锐联沪港深基本面100指数收益率*95%+银行人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20170609,20170609,E
334,167003.SZ,平安鼎弘,平安基金,中国工商银行,混合型,20170426,,20170606,20170223,,2.027,1.2,0.25,,1.0,0.0001,,中证综合债指数收益率*80%+沪深300指数收益率*20%,L,混合型,契约型开放式,,20181026,20181026,E
335,159952.SZ,创业ETF,广发基金,中国工商银行,股票型,20170425,,20170519,20170322,,4.0448,0.15,0.05,,1.0,0.1,,创业板指数收益率,L,被动指数型,契约型开放式,,20170519,20170519,E
336,501301.SH,香港大盘LOF,华宝基金,招商证券,股票型,20170420,,20170508,20170320,,3.1144,0.75,0.15,,1.0,0.01,,经人民币汇率调整的恒生中国(香港上市)25指数收益率*95%+人民币银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20170508,20170508,E
337,160723.SZ,嘉实原油,嘉实基金,中国银行,股票型,20170420,,20170505,20170315,,3.1042,1.0,0.28,,1.0,0.001,,WTI原油价格收益率*100%,L,股票型,契约型开放式,,20170428,20170428,E
338,161631.SZ,人工智能,融通基金,中国建设银行,股票型,20170410,,20170419,20170103,,2.0511,0.8,0.15,,1.0,0.001,,中证人工智能主题指数收益率*95%+银行人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20170419,20170419,E
339,501019.SH,军工基金LOF,国泰基金,中国建设银行,股票型,20170329,,20170421,20170310,,2.681,0.5,0.15,,1.0,0.01,,国证航天军工指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20170421,20170421,E
340,168108.SZ,九泰锐诚,九泰基金,中国光大银行,混合型,20170324,,20170711,20161226,,2.1488,1.5,0.25,,1.0,0.1,,沪深300指数收益率*60%+中债总指数(总值)财富指数收益率*40%,L,灵活配置型,契约型开放式,,20190325,20190325,E
341,511770.SH,金鹰增益货币ETF,金鹰基金,招商证券,货币市场型,20170320,,20170410,20170306,,14.9345,0.28,0.08,,100.0,0.1,,七天通知存款利率(税后),L,货币型,契约型开放式,,20170410,20170410,E
342,161036.SZ,娱乐增强,富国基金,中国银行,股票型,20170313,,20170324,20170208,,5.6673,1.2,0.25,,1.0,0.001,,中证娱乐主题指数收益率*95%+银行人民币活期存款利率(税后)*5%,L,增强指数型,契约型开放式,,20170324,20170324,E
343,512900.SH,证券ETF基金,南方基金,中国银行,股票型,20170310,,20170331,20170126,,11.9711,0.5,0.1,,1.0,0.1,,中证全指证券公司指数收益率,L,被动指数型,契约型开放式,,20170331,20170331,E
344,164509.SZ,国富恒利,国海富兰克林基金,中国银行,债券型,20170310,,20170407,20170310,,1.6855,0.3,0.1,,1.0,,,中债综合指数(全价),L,债券型,契约型开放式,,20170315,20170315,E
345,501027.SH,国泰融信LOF,国泰基金,中国银行,混合型,20170302,,20170601,20161201,,4.1153,0.9,0.25,,1.0,0.01,,沪深300指数收益率*60%+中证综合债指数收益率*40%,L,灵活配置型,契约型开放式,,20180905,20180905,E
346,162719.SZ,广发石油,广发基金,中国银行,股票型,20170228,,20170317,20170116,,2.2691,1.0,0.3,,1.0,0.001,,人民币计价的道琼斯美国石油开发与生产指数收益率*95%+人民币活期存款收益率(税后)*5%,L,被动指数型,契约型开放式,,20170317,20170317,E
347,512580.SH,环保ETF,广发基金,中国银行,股票型,20170125,,20170228,20161219,,6.7887,0.5,0.1,,1.0,0.1,,中证环保产业指数收益率,L,被动指数型,契约型开放式,,20170228,20170228,E
348,501032.SH,财通福盛混合LOF,财通基金,中国工商银行,混合型,20170125,,20170421,20161219,,5.1721,1.5,0.25,,1.0,0.1,,沪深300指数收益率*70%+中债综合全价指数收益率*30%,L,混合型,契约型开放式,,20180716,20180716,E
349,511230.SH,周期债,海富通基金,交通银行,债券型,20170123,20190220,20170421,20161115,,2.0926,0.3,0.1,,1.0,0.1,,上证周期产业债指数,L,被动指数型,契约型开放式,,20170413,20170421,E
350,161233.SZ,国投瑞泰,国投瑞银基金,中国工商银行,混合型,20170123,,20170227,20161226,,9.6049,1.5,0.25,,1.0,0.001,,沪深300指数收益率*50%+中债综合指数收益率*50%,L,灵活配置型,契约型开放式,,20180802,20180802,E
